comment,score
Chingling: help me they only gave me 3 frames,0
Anyone else back here after watching the new legends Z-A trailer?,0
"Bidoof : Son, don't go on the grassBidoof: You can be attacked by wild humans",0
Legit looks like a fan made project that was a long time coming.,1
They gotta polish this game because it has potential to be amazing.,2
does the existence of a dodge roll insinuate that some pokemon will straight up rush us with murderous intent,-1
"Damn, this is really pushing the Wii's graphical limits to the max. I'm impressed.",0
Pokemon Breath of Bidoof,0
"Dev: Sir, we still cant record a stable video for the trailer yetBoss: Yes.",1
"“And in the mountains and seas, Pokémon, roamed as they pleased”<span class="""" dir=""auto"" style=""font-weight: 500;"">And that’s when the fire nation attacked",0
"Pokemon: *literally got captured by a pokeball our of nowhere The other pokemon that he's chilling with: <span class="""" dir=""auto"" style=""font-weight: 500;"">Must have been the wind",0
The fact this trailer doesn't feature Charizard is nothing short of a miracle,0
So they're finally attempting to make a game that every child used to imagine while playing Pokemon.,0
This is a blueprint for something incredible. They just need to refine the heck out of it.,1
"<span class="""" dir=""auto"" style=""font-weight: 500;"">Shows the Pokemon game I've always dreamed of",0
"Honestly, the most interesting aspect is how this isn't split into two games",0
they scrapped the whole “this is how your parents go to school” joke and turned it into a game,0
"Idk who needs to hear this, but please don't rush this game, this has the potential to be everything the fans ever wanted, and if it's going to look like that as the final product and be this laggy everyone will be disappointed. Ik this isn't the final yet, but the release date concerns me, it's not that far away. Please take your time, we can wait a little longer.",1
Nobody's even talking about the fact that cyndaquill finally has living fire in a 3d game instead of just seeing the spots it briefly comes out of for attacks.,0
All these comments saying this game would be horrible didn't age well,-1
Imagine hanging around with your family and friends as a pokemonand thenyou get smacked by a pokeball,0
When a pokemon gets caught the ones around it should get startled,0
Can the Pokémon get scared when you try to catch one of their fellow friends? They seem so sheepish just standing there “oh you’re being captured? Ight that’s cool ima just chill over here”,1
So proud of Legends Arceus's journey from looking embarrassingly bad to being the best Pokemon game in the past decade.,0
I’ve never seen a game trailer where the world looks so lifeless before,0
"Chingling is literally begging for frames please help the little guy out <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""🥺"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./arceus_files/emoji_u1f97a.png"">",0
Finally they're at least trying new things and actually being innovative for once.,0
Finally a game where Arceus gets the spotlight. Ive never been this excited.,0
Game looks like a power point presentation,1
"<span class="""" dir=""auto"" style=""font-weight: 500;"">How many games are you working on?",0
"Man,Skyrim mods are still holding up to this day,color me impressed",0
“We don’t need a switch pro”……. Proceeds to a trailer in 15 FPS….,0
When the FPS is so low that you have to move the camera as slowly as possible to fool the audience,0
"The true star of the show: <span class="""" dir=""auto"" style=""font-weight: 500;"">B I D O O F",0
"Let’s not kid ourselves, this period of time, they are <span class="""" dir=""auto"" style=""font-weight: 500;"">definetly",0
"The potential of this game is amazing, pls don’t mess up ;-;",0
There should be no Pokedex in this era. Would be very sensible to have an encyclopedia book or something like that which is already filled and has missing pages and info's that will be filled as game continues.,0
Breath of the Wild 2 lookin fresh!,0
CYBERPUNK on previous gen: our battle will be legendary,0
The legend of Sinnoh: breath of Arceus,0
this looks like it could be a fan-game,1
Arceus : Is my time finally from a long sleep !,0
Let's just appreciate Cyndaquil's evolution line's 3d models have been fixed,0
Has to be the best Pokemon game ever released so far,1
"Sees bidoof""The return of the king""",0
Getting Siri to narrate this was an interesting play,0
The new Ancient Pokeballs lookin' nice.,1
Looks like the game was about to crash during this trailer.,1
"""But everything changed when the fire nation attacked!""",0
its fuckin crazy looking at how the game used to look and now,0
so your telling me we finally get to see the Pokémon battle each other like in front of us and not get directed somewhere else,1
The gameplay looks fan made. You’d think they’d be able to make it more immersive.,-1
